"","SNo","Date","Country","RegionCode","RegionName","ProvinceCode","ProvinceName","ProvinceAbbreviation","Latitude","Longitude","TotalPositiveCases"
"1",37,"2020-02-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,0
"2",165,"2020-02-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3
"3",293,"2020-02-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3
"4",421,"2020-02-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3
"5",549,"2020-02-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3
"6",677,"2020-02-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6
"7",805,"2020-03-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6
"8",933,"2020-03-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7
"9",1061,"2020-03-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,14
"10",1189,"2020-03-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,29
"11",1317,"2020-03-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,42
"12",1445,"2020-03-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,49
"13",1573,"2020-03-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,71
"14",1701,"2020-03-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,77
"15",1829,"2020-03-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,91
"16",1957,"2020-03-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,76
"17",2085,"2020-03-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,99
"18",2213,"2020-03-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,162
"19",2341,"2020-03-13","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,218
"20",2469,"2020-03-14","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,288
"21",2597,"2020-03-15","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,354
"22",2725,"2020-03-16","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,412
"23",2853,"2020-03-17","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,486
"24",2981,"2020-03-18","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,590
"25",3109,"2020-03-19","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,678
"26",3237,"2020-03-20","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,755
"27",3365,"2020-03-21","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,893
"28",3493,"2020-03-22","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1049
"29",3621,"2020-03-23","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1171
"30",3749,"2020-03-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1287
"31",3877,"2020-03-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1428
"32",4005,"2020-03-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1567
"33",4133,"2020-03-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1703
"34",4261,"2020-03-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1839
"35",4389,"2020-03-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,1945
"36",4517,"2020-03-30","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2068
"37",4645,"2020-03-31","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2186
"38",4773,"2020-04-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2260
"39",4901,"2020-04-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2393
"40",5029,"2020-04-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2503
"41",5157,"2020-04-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2620
"42",5285,"2020-04-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2714
"43",5413,"2020-04-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2769
"44",5541,"2020-04-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2830
"45",5669,"2020-04-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,2910
"46",5797,"2020-04-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3026
"47",5925,"2020-04-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3114
"48",6053,"2020-04-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3219
"49",6181,"2020-04-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3315
"50",6309,"2020-04-13","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3431
"51",6437,"2020-04-14","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3560
"52",6565,"2020-04-15","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3665
"53",6693,"2020-04-16","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3767
"54",6821,"2020-04-17","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,3888
"55",6949,"2020-04-18","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4018
"56",7077,"2020-04-19","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4082
"57",7205,"2020-04-20","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4133
"58",7333,"2020-04-21","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4189
"59",7461,"2020-04-22","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4257
"60",7589,"2020-04-23","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4313
"61",7717,"2020-04-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4361
"62",7845,"2020-04-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4434
"63",7973,"2020-04-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4501
"64",8101,"2020-04-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4569
"65",8229,"2020-04-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4642
"66",8357,"2020-04-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4694
"67",8485,"2020-04-30","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4756
"68",8613,"2020-05-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4807
"69",8741,"2020-05-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4863
"70",8869,"2020-05-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4911
"71",8997,"2020-05-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,4948
"72",9125,"2020-05-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5005
"73",9253,"2020-05-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5080
"74",9381,"2020-05-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5117
"75",9509,"2020-05-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5164
"76",9637,"2020-05-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5202
"77",9765,"2020-05-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5229
"78",9893,"2020-05-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5250
"79",10021,"2020-05-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5266
"80",10149,"2020-05-13","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5291
"81",10277,"2020-05-14","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5308
"82",10405,"2020-05-15","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5371
"83",10533,"2020-05-16","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5397
"84",10661,"2020-05-17","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5436
"85",10789,"2020-05-18","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5466
"86",10917,"2020-05-19","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5474
"87",11045,"2020-05-20","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5494
"88",11173,"2020-05-21","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5509
"89",11301,"2020-05-22","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5534
"90",11429,"2020-05-23","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5549
"91",11557,"2020-05-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5565
"92",11685,"2020-05-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5576
"93",11813,"2020-05-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5591
"94",11941,"2020-05-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5600
"95",12069,"2020-05-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5614
"96",12197,"2020-05-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5627
"97",12325,"2020-05-30","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5632
"98",12453,"2020-05-31","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5643
"99",12581,"2020-06-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5649
"100",12709,"2020-06-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5654
"101",12837,"2020-06-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5664
"102",12965,"2020-06-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5675
"103",13093,"2020-06-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5684
"104",13221,"2020-06-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5702
"105",13349,"2020-06-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5719
"106",13477,"2020-06-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5735
"107",13605,"2020-06-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5754
"108",13733,"2020-06-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5765
"109",13861,"2020-06-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5781
"110",13989,"2020-06-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5805
"111",14117,"2020-06-13","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5830
"112",14245,"2020-06-14","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5844
"113",14373,"2020-06-15","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5847
"114",14501,"2020-06-16","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5856
"115",14629,"2020-06-17","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5866
"116",14757,"2020-06-18","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5874
"117",14885,"2020-06-19","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5882
"118",15013,"2020-06-20","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5894
"119",15141,"2020-06-21","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5903
"120",15269,"2020-06-22","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5911
"121",15397,"2020-06-23","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5917
"122",15525,"2020-06-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5810
"123",15659,"2020-06-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5817
"124",15808,"2020-06-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5830
"125",15957,"2020-06-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5846
"126",16106,"2020-06-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5860
"127",16255,"2020-06-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5868
"128",16404,"2020-06-30","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5872
"129",16553,"2020-07-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5880
"130",16702,"2020-07-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5886
"131",16851,"2020-07-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5896
"132",17000,"2020-07-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5925
"133",17149,"2020-07-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5936
"134",17298,"2020-07-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5951
"135",17447,"2020-07-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5957
"136",17596,"2020-07-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5964
"137",17745,"2020-07-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,5994
"138",17894,"2020-07-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6015
"139",18043,"2020-07-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6027
"140",18192,"2020-07-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6046
"141",18341,"2020-07-13","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6067
"142",18490,"2020-07-14","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6085
"143",18639,"2020-07-15","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6103
"144",18788,"2020-07-16","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6109
"145",18937,"2020-07-17","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6120
"146",19086,"2020-07-18","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6139
"147",19235,"2020-07-19","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6152
"148",19384,"2020-07-20","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6167
"149",19533,"2020-07-21","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6170
"150",19682,"2020-07-22","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6183
"151",19831,"2020-07-23","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6206
"152",19980,"2020-07-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6218
"153",20129,"2020-07-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6233
"154",20278,"2020-07-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6250
"155",20427,"2020-07-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6259
"156",20576,"2020-07-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6268
"157",20725,"2020-07-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6300
"158",20874,"2020-07-30","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6316
"159",21023,"2020-07-31","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6329
"160",21172,"2020-08-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6341
"161",21321,"2020-08-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6355
"162",21470,"2020-08-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6367
"163",21619,"2020-08-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6380
"164",21768,"2020-08-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6385
"165",21917,"2020-08-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6398
"166",22066,"2020-08-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6416
"167",22215,"2020-08-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6431
"168",22364,"2020-08-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6463
"169",22513,"2020-08-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6491
"170",22662,"2020-08-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6511
"171",22811,"2020-08-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6542
"172",22960,"2020-08-13","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6568
"173",23109,"2020-08-14","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6609
"174",23258,"2020-08-15","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6651
"175",23407,"2020-08-16","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6705
"176",23556,"2020-08-17","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6754
"177",23705,"2020-08-18","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6791
"178",23854,"2020-08-19","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6863
"179",24003,"2020-08-20","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,6963
"180",24152,"2020-08-21","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7085
"181",24301,"2020-08-22","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7238
"182",24450,"2020-08-23","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7378
"183",24599,"2020-08-24","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7519
"184",24748,"2020-08-25","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7636
"185",24897,"2020-08-26","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7785
"186",25046,"2020-08-27","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,7900
"187",25195,"2020-08-28","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8031
"188",25344,"2020-08-29","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8162
"189",25493,"2020-08-30","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8268
"190",25642,"2020-08-31","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8390
"191",25791,"2020-09-01","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8495
"192",25940,"2020-09-02","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8602
"193",26089,"2020-09-03","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8731
"194",26238,"2020-09-04","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,8869
"195",26387,"2020-09-05","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9000
"196",26536,"2020-09-06","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9101
"197",26685,"2020-09-07","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9234
"198",26834,"2020-09-08","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9348
"199",26983,"2020-09-09","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9477
"200",27132,"2020-09-10","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9613
"201",27281,"2020-09-11","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9743
"202",27430,"2020-09-12","ITA",12,"Lazio",58,"Rome","RM",41.89277044,12.48366722,9874
